Valid time	Local time	Precipitation[mm] (acc.)	Temperature[degC]	SSRD[Jm-2] (acc.)
1997-12-31T23:00+00:00	1998-01-01T00:00+01:00	0.000014	5.317692	3264698.508000
1998-01-01T00:00+00:00	1998-01-01T01:00+01:00	0.000014	5.532001	3264698.508000
1998-01-01T01:00+00:00	1998-01-01T02:00+01:00	0.000000	5.330116	0.000000
1998-01-01T02:00+00:00	1998-01-01T03:00+01:00	0.000000	5.012867	0.000000
1998-01-01T03:00+00:00	1998-01-01T04:00+01:00	0.000000	4.839879	0.000000
1998-01-01T04:00+00:00	1998-01-01T05:00+01:00	0.000000	4.989271	0.000000
1998-01-01T05:00+00:00	1998-01-01T06:00+01:00	0.000000	5.274342	0.000000
1998-01-01T06:00+00:00	1998-01-01T07:00+01:00	0.000000	5.580375	0.000000
1998-01-01T07:00+00:00	1998-01-01T08:00+01:00	0.001255	5.674495	0.000000
1998-01-01T08:00+00:00	1998-01-01T09:00+01:00	0.001688	6.151284	19403.746000
1998-01-01T09:00+00:00	1998-01-01T10:00+01:00	0.002377	6.838372	136966.680000
1998-01-01T10:00+00:00	1998-01-01T11:00+01:00	0.003492	7.666271	382909.502000
1998-01-01T11:00+00:00	1998-01-01T12:00+01:00	0.005722	8.554393	750243.656000
1998-01-01T12:00+00:00	1998-01-01T13:00+01:00	0.007050	9.084625	1193769.862000
1998-01-01T13:00+00:00	1998-01-01T14:00+01:00	0.007136	9.334734	1632805.190000
1998-01-01T14:00+00:00	1998-01-01T15:00+01:00	0.008187	9.255938	1960034.008000
1998-01-01T15:00+00:00	1998-01-01T16:00+01:00	0.008187	8.300854	2078036.812000
1998-01-01T16:00+00:00	1998-01-01T17:00+01:00	0.008187	7.291405	2079417.692000
1998-01-01T17:00+00:00	1998-01-01T18:00+01:00	0.008187	6.866901	2079417.692000
1998-01-01T18:00+00:00	1998-01-01T19:00+01:00	0.008187	6.612256	2079417.692000
1998-01-01T19:00+00:00	1998-01-01T20:00+01:00	0.008187	6.558318	2079417.692000
1998-01-01T20:00+00:00	1998-01-01T21:00+01:00	0.008216	6.189132	2079417.692000
1998-01-01T21:00+00:00	1998-01-01T22:00+01:00	0.090405	6.221078	2079417.692000
1998-01-01T22:00+00:00	1998-01-01T23:00+01:00	0.187810	6.049646	2079417.692000
1998-01-01T23:00+00:00	1998-01-02T00:00+01:00	0.328233	5.811648	2079417.692000
1998-01-02T00:00+00:00	1998-01-02T01:00+01:00	0.461066	5.637889	2079417.692000
1998-01-02T01:00+00:00	1998-01-02T02:00+01:00	0.002103	5.654064	0.000000
1998-01-02T02:00+00:00	1998-01-02T03:00+01:00	0.003085	5.727738	0.000000
1998-01-02T03:00+00:00	1998-01-02T04:00+01:00	0.003113	6.041630	0.000000
1998-01-02T04:00+00:00	1998-01-02T05:00+01:00	0.003113	6.138845	0.000000
