Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
1998-01-01	0.328233	6.615551	8.080816	54.993859	7.936605	0.648253
1998-01-02	0.573352	7.369938	8.254155	73.654996	7.956234	0.731758
1998-01-03	3.553480	7.528936	7.489120	63.209152	7.977525	0.751134
1998-01-04	0.766695	5.701582	5.896163	83.350941	8.000452	0.554943
1998-01-05	1.306620	6.006150	6.216749	91.033715	8.024988	0.589415
1998-01-06	2.411955	4.460122	4.678461	60.855781	8.051106	0.426345
1998-01-07	4.758069	6.867884	8.871613	27.238298	8.078775	0.687582
1998-01-08	1.948948	8.205255	8.802267	64.366567	8.107965	0.839123
1998-01-09	0.323860	9.937852	10.334015	21.827656	8.138644	1.039728
1998-01-10	0.036083	8.134071	9.629539	97.218431	8.170778	0.837563
1998-01-11	0.000003	5.857646	7.392336	116.044540	8.204333	0.586230
1998-01-12	0.001729	5.793668	7.679832	111.592266	8.239276	0.581663
1998-01-13	0.000852	4.313919	6.363349	116.257637	8.275570	0.422467
1998-01-14	0.006285	5.614772	7.300058	112.070500	8.313180	0.566991
1998-01-15	0.008099	5.203571	5.439749	85.097980	8.352069	0.523958
1998-01-16	2.696635	6.359474	6.809645	25.703937	8.392200	0.656357
1998-01-17	1.158540	4.546863	4.858673	107.294311	8.433537	0.456152
1998-01-18	0.541455	4.185940	4.781089	99.195344	8.476043	0.418612
1998-01-19	4.925980	3.841569	3.318196	44.199280	8.519681	0.382876
1998-01-20	4.458134	1.885891	1.891852	35.847086	8.564414	0.176071
1998-01-21	0.668252	-0.448871	-0.378513	45.640528	8.610205	0.000000
1998-01-22	1.947105	-0.350063	0.023897	37.776624	8.657017	0.000000
1998-01-23	0.385775	-0.910788	-0.889389	47.394124	8.704815	0.000000
1998-01-24	2.651570	-0.517812	0.595477	72.494918	8.753563	0.000000
1998-01-25	0.283421	-2.424398	-2.123694	73.263797	8.803225	0.000000
1998-01-26	0.027013	-3.770226	-3.305154	81.216219	8.853766	0.000000
1998-01-27	0.004163	-4.500545	-3.358913	129.861631	8.905152	0.000000
1998-01-28	1.520485	-2.131619	-0.737143	45.720438	8.957350	0.000000
