Valid time	Local time	Precipitation[mm] (acc.)	Temperature[degC]	SSRD[Jm-2] (acc.)
1997-12-31T23:00+00:00	1998-01-01T00:00+01:00	0.000019	5.316883	3264755.442900
1998-01-01T00:00+00:00	1998-01-01T01:00+01:00	0.000019	5.531226	3264755.442900
1998-01-01T01:00+00:00	1998-01-01T02:00+01:00	0.000000	5.329476	0.000000
1998-01-01T02:00+00:00	1998-01-01T03:00+01:00	0.000000	5.012092	0.000000
1998-01-01T03:00+00:00	1998-01-01T04:00+01:00	0.000000	4.839003	0.000000
1998-01-01T04:00+00:00	1998-01-01T05:00+01:00	0.000000	4.988294	0.000000
1998-01-01T05:00+00:00	1998-01-01T06:00+01:00	0.000000	5.273398	0.000000
1998-01-01T06:00+00:00	1998-01-01T07:00+01:00	0.000000	5.579499	0.000000
1998-01-01T07:00+00:00	1998-01-01T08:00+01:00	0.001263	5.673821	0.000000
1998-01-01T08:00+00:00	1998-01-01T09:00+01:00	0.001696	6.150778	19403.607976
1998-01-01T09:00+00:00	1998-01-01T10:00+01:00	0.002387	6.837934	136949.599530
1998-01-01T10:00+00:00	1998-01-01T11:00+01:00	0.003498	7.666035	382896.320708
1998-01-01T11:00+00:00	1998-01-01T12:00+01:00	0.005721	8.554225	750286.857512
1998-01-01T12:00+00:00	1998-01-01T13:00+01:00	0.007050	9.084592	1193874.794746
1998-01-01T13:00+00:00	1998-01-01T14:00+01:00	0.007128	9.334667	1632980.514986
1998-01-01T14:00+00:00	1998-01-01T15:00+01:00	0.008180	9.255803	1960258.538542
1998-01-01T15:00+00:00	1998-01-01T16:00+01:00	0.008180	8.300618	2078273.799208
1998-01-01T16:00+00:00	1998-01-01T17:00+01:00	0.008180	7.291068	2079656.128460
1998-01-01T17:00+00:00	1998-01-01T18:00+01:00	0.008180	6.866800	2079656.128460
1998-01-01T18:00+00:00	1998-01-01T19:00+01:00	0.008180	6.612088	2079656.128460
1998-01-01T19:00+00:00	1998-01-01T20:00+01:00	0.008180	6.558015	2079656.128460
1998-01-01T20:00+00:00	1998-01-01T21:00+01:00	0.008217	6.188627	2079656.128460
1998-01-01T21:00+00:00	1998-01-01T22:00+01:00	0.090307	6.220337	2079656.128460
1998-01-01T22:00+00:00	1998-01-01T23:00+01:00	0.187608	6.048972	2079656.128460
1998-01-01T23:00+00:00	1998-01-02T00:00+01:00	0.328109	5.810974	2079656.128460
1998-01-02T00:00+00:00	1998-01-02T01:00+01:00	0.460443	5.637485	2079656.128460
1998-01-02T01:00+00:00	1998-01-02T02:00+01:00	0.002103	5.653761	0.000000
1998-01-02T02:00+00:00	1998-01-02T03:00+01:00	0.003082	5.727367	0.000000
1998-01-02T03:00+00:00	1998-01-02T04:00+01:00	0.003119	6.041058	0.000000
1998-01-02T04:00+00:00	1998-01-02T05:00+01:00	0.003119	6.138205	0.000000
1998-01-02T05:00+00:00	1998-01-02T06:00+01:00	0.005900	6.172615	0.000000
1998-01-02T06:00+00:00	1998-01-02T07:00+01:00	0.057695	6.094559	0.000000
1998-01-02T07:00+00:00	1998-01-02T08:00+01:00	0.101154	6.431240	0.000000
1998-01-02T08:00+00:00	1998-01-02T09:00+01:00	0.123592	6.943044	15284.646046
1998-01-02T09:00+00:00	1998-01-02T10:00+01:00	0.129359	7.372770	125794.500630
1998-01-02T10:00+00:00	1998-01-02T11:00+01:00	0.131383	8.052898	446662.700988
1998-01-02T11:00+00:00	1998-01-02T12:00+01:00	0.132577	8.634894	933480.698346
1998-01-02T12:00+00:00	1998-01-02T13:00+01:00	0.141810	8.999990	1675493.481786
1998-01-02T13:00+00:00	1998-01-02T14:00+01:00	0.149076	9.178689	2298000.052392
1998-01-02T14:00+00:00	1998-01-02T15:00+01:00	0.149076	8.975942	2645712.412754
1998-01-02T15:00+00:00	1998-01-02T16:00+01:00	0.149076	8.275484	2782994.969596
1998-01-02T16:00+00:00	1998-01-02T17:00+01:00	0.156912	7.532129	2784883.812728
1998-01-02T17:00+00:00	1998-01-02T18:00+01:00	0.163677	7.429864	2784883.812728
1998-01-02T18:00+00:00	1998-01-02T19:00+01:00	0.168938	7.317811	2784883.812728
1998-01-02T19:00+00:00	1998-01-02T20:00+01:00	0.434938	7.874563	2784883.812728
1998-01-02T20:00+00:00	1998-01-02T21:00+01:00	0.441594	8.512604	2784883.812728
1998-01-02T21:00+00:00	1998-01-02T22:00+01:00	0.441594	8.668999	2784883.812728
1998-01-02T22:00+00:00	1998-01-02T23:00+01:00	0.441594	8.368518	2784883.812728
1998-01-02T23:00+00:00	1998-01-03T00:00+01:00	0.441594	7.867983	2784883.812728
1998-01-03T00:00+00:00	1998-01-03T01:00+01:00	0.445695	7.745382	2784883.812728
1998-01-03T01:00+00:00	1998-01-03T02:00+01:00	0.037095	7.575826	0.000000
1998-01-03T02:00+00:00	1998-01-03T03:00+01:00	0.069247	7.510094	0.000000
1998-01-03T03:00+00:00	1998-01-03T04:00+01:00	0.120653	7.223830	0.000000
1998-01-03T04:00+00:00	1998-01-03T05:00+01:00	0.133502	6.840492	0.000000
1998-01-03T05:00+00:00	1998-01-03T06:00+01:00	0.134030	6.643557	0.000000
1998-01-03T06:00+00:00	1998-01-03T07:00+01:00	0.134030	6.496063	0.000000
1998-01-03T07:00+00:00	1998-01-03T08:00+01:00	0.134030	6.745402	0.000000
1998-01-03T08:00+00:00	1998-01-03T09:00+01:00	0.134030	6.759067	29239.088484
1998-01-03T09:00+00:00	1998-01-03T10:00+01:00	0.134889	7.052013	206581.107486
1998-01-03T10:00+00:00	1998-01-03T11:00+01:00	0.135496	7.458632	670987.254232
1998-01-03T11:00+00:00	1998-01-03T12:00+01:00	0.135490	7.966352	1318718.789646
1998-01-03T12:00+00:00	1998-01-03T13:00+01:00	0.135490	7.927692	1763769.001496
1998-01-03T13:00+00:00	1998-01-03T14:00+01:00	0.146563	8.019704	2169428.213548
1998-01-03T14:00+00:00	1998-01-03T15:00+01:00	0.338963	7.615232	2366098.180988
1998-01-03T15:00+00:00	1998-01-03T16:00+01:00	0.765501	7.210530	2389515.916452
1998-01-03T16:00+00:00	1998-01-03T17:00+01:00	0.819785	7.275997	2390027.167536
1998-01-03T17:00+00:00	1998-01-03T18:00+01:00	0.985292	7.786173	2390027.167536
1998-01-03T18:00+00:00	1998-01-03T19:00+01:00	2.077832	8.206435	2390027.167536
1998-01-03T19:00+00:00	1998-01-03T20:00+01:00	2.578311	8.882229	2390027.167536
1998-01-03T20:00+00:00	1998-01-03T21:00+01:00	3.302579	8.801917	2390027.167536
1998-01-03T21:00+00:00	1998-01-03T22:00+01:00	3.538797	8.431665	2390027.167536
1998-01-03T22:00+00:00	1998-01-03T23:00+01:00	3.548223	7.387657	2390027.167536
1998-01-03T23:00+00:00	1998-01-04T00:00+01:00	3.548223	6.399196	2390027.167536
1998-01-04T00:00+00:00	1998-01-04T01:00+01:00	3.548250	5.863610	2390027.167536
1998-01-04T01:00+00:00	1998-01-04T02:00+01:00	0.000000	5.575723	0.000000
1998-01-04T02:00+00:00	1998-01-04T03:00+01:00	0.000000	5.381494	0.000000
1998-01-04T03:00+00:00	1998-01-04T04:00+01:00	0.001927	5.234339	0.000000
1998-01-04T04:00+00:00	1998-01-04T05:00+01:00	0.001925	5.191086	0.000000
1998-01-04T05:00+00:00	1998-01-04T06:00+01:00	0.006999	5.013654	0.000000
1998-01-04T06:00+00:00	1998-01-04T07:00+01:00	0.006999	5.108972	0.000000
1998-01-04T07:00+00:00	1998-01-04T08:00+01:00	0.007077	4.804664	0.000000
1998-01-04T08:00+00:00	1998-01-04T09:00+01:00	0.069911	4.690321	30692.315926
1998-01-04T09:00+00:00	1998-01-04T10:00+01:00	0.156530	4.512298	218004.079696
1998-01-04T10:00+00:00	1998-01-04T11:00+01:00	0.162001	5.142960	725603.764908
1998-01-04T11:00+00:00	1998-01-04T12:00+01:00	0.162001	5.994019	1328707.695634
1998-01-04T12:00+00:00	1998-01-04T13:00+01:00	0.163746	6.688126	2018801.595110
1998-01-04T13:00+00:00	1998-01-04T14:00+01:00	0.163743	7.001683	2679197.986580
1998-01-04T14:00+00:00	1998-01-04T15:00+01:00	0.163743	7.004871	3040939.798088
1998-01-04T15:00+00:00	1998-01-04T16:00+01:00	0.163743	6.501747	3149665.143510
1998-01-04T16:00+00:00	1998-01-04T17:00+01:00	0.163743	6.028234	3151766.396160
1998-01-04T17:00+00:00	1998-01-04T18:00+01:00	0.163743	5.563880	3151766.396160
1998-01-04T18:00+00:00	1998-01-04T19:00+01:00	0.164617	5.494028	3151766.396160
