Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
1998-01-01	0.328109	6.615054	8.080578	55.000165	7.936605	0.648203
1998-01-02	0.573928	7.369749	8.254177	73.651152	7.956234	0.731741
1998-01-03	3.552323	7.528981	7.489136	63.208473	7.977525	0.751143
1998-01-04	0.766540	5.701539	5.896040	83.354007	8.000452	0.554942
1998-01-05	1.306622	6.006048	6.216614	91.035268	8.024988	0.589407
1998-01-06	2.412541	4.460334	4.678768	60.856971	8.051106	0.426370
1998-01-07	4.755404	6.867825	8.871514	27.237736	8.078775	0.687580
1998-01-08	1.949783	8.205093	8.801998	64.374497	8.107965	0.839109
1998-01-09	0.324666	9.937638	10.333723	21.826300	8.138644	1.039707
1998-01-10	0.036053	8.133650	9.629191	97.216118	8.170778	0.837520
1998-01-11	0.000002	5.856387	7.391020	116.044427	8.204333	0.586095
1998-01-12	0.001729	5.792740	7.679104	111.591711	8.239276	0.581564
1998-01-13	0.000852	4.313220	6.362558	116.257423	8.275570	0.422395
1998-01-14	0.006272	5.614149	7.299493	112.069792	8.313180	0.566926
1998-01-15	0.008100	5.203533	5.439664	85.094527	8.352069	0.523957
1998-01-16	2.695498	6.359486	6.809798	25.704092	8.392200	0.656362
1998-01-17	1.157169	4.546748	4.858651	107.293960	8.433537	0.456143
1998-01-18	0.541480	4.185846	4.781074	99.194410	8.476043	0.418605
1998-01-19	4.924404	3.841560	3.318178	44.203587	8.519681	0.382879
1998-01-20	4.456615	1.885892	1.891655	35.845568	8.564414	0.176073
1998-01-21	0.667524	-0.448634	-0.378279	45.640957	8.610205	0.000000
1998-01-22	1.945751	-0.349668	0.024299	37.773160	8.657017	0.000000
1998-01-23	0.385500	-0.910382	-0.889004	47.389136	8.704815	0.000000
1998-01-24	2.650957	-0.517644	0.596139	72.500630	8.753563	0.000000
1998-01-25	0.283282	-2.424840	-2.124640	73.262057	8.803225	0.000000
1998-01-26	0.026972	-3.769770	-3.304678	81.216298	8.853766	0.000000
1998-01-27	0.004164	-4.500293	-3.358675	129.857302	8.905152	0.000000
1998-01-28	1.520542	-2.132594	-0.737859	45.718518	8.957350	0.000000
1998-01-29	0.803405	-1.166760	-0.265526	76.412052	9.010327	0.000000
1998-01-30	1.191541	-0.017917	1.037610	79.604947	9.064049	0.000000
1998-01-31	0.699356	-4.788498	-4.635513	150.183602	9.118486	0.000000
1998-02-01	0.000000	-8.193362	-7.773098	170.094265	9.173607	0.000000
1998-02-02	0.280293	-6.885880	-6.339430	186.218736	9.229381	0.000000
1998-02-03	0.671367	-1.343266	-0.131240	180.275828	9.285780	0.000000
1998-02-04	0.000866	-3.125520	-0.793994	190.077070	9.342774	0.000000
1998-02-05	0.004007	-0.264436	2.500582	140.651715	9.400336	0.000000
1998-02-06	0.021508	2.849735	4.832045	139.588641	9.458440	0.306117
1998-02-07	0.089980	2.020503	3.573816	172.982064	9.517059	0.211063
1998-02-08	0.074763	2.675017	3.859282	136.776497	9.576168	0.289106
1998-02-09	0.008850	4.286186	6.212044	150.233259	9.635743	0.488432
1998-02-10	0.000000	4.509380	7.063693	208.977528	9.695760	0.519677
1998-02-11	0.002146	5.560934	7.371174	162.837819	9.756197	0.658405
1998-02-12	0.019599	9.983850	10.820480	136.168144	9.817031	1.260532
1998-02-13	1.304119	10.558949	10.931382	49.121665	9.878242	1.348928
1998-02-14	0.102572	11.310240	12.942863	160.352898	9.939809	1.463860
1998-02-15	0.381641	10.823459	12.663901	173.479306	10.001713	1.403443
1998-02-16	0.461748	10.432971	11.820828	102.188132	10.063935	1.356273
1998-02-17	2.338502	5.222104	4.719009	118.879777	10.126456	0.637764
1998-02-18	0.061856	5.598610	7.275015	104.866850	10.189260	0.692754
1998-02-19	0.002863	6.160696	8.180880	235.977671	10.252330	0.774337
1998-02-20	0.013492	6.020355	7.811300	198.273083	10.315651	0.759632
1998-02-21	0.000852	10.004133	12.537346	252.847078	10.379206	1.335694
1998-02-22	5.037237	9.431347	10.123217	108.275711	10.442981	1.259568
1998-02-23	0.042533	5.463111	6.528069	158.450404	10.506963	0.695373
1998-02-24	1.292979	7.934390	8.859348	51.230690	10.571137	1.054418
1998-02-25	1.012192	8.638737	8.850892	34.204880	10.635492	1.164795
1998-02-26	0.595507	9.514425	10.158269	123.867987	10.700015	1.303071
1998-02-27	0.154128	8.882226	8.959061	120.778076	10.764693	1.215521
1998-02-28	3.165062	5.636010	6.342778	129.861223	10.829517	0.741692
1998-03-01	1.765685	2.424122	3.886111	225.766895	10.894475	0.295159
1998-03-02	1.893797	4.878047	6.359030	192.442102	10.959557	0.640412
1998-03-03	5.616379	8.153290	7.572737	52.515065	11.024753	1.133057
1998-03-04	5.270522	14.023138	15.674152	254.470718	11.090054	2.068668
1998-03-05	2.039244	5.767677	6.338444	236.509356	11.155451	0.783656
1998-03-06	8.242816	4.314766	4.744262	93.489897	11.220935	0.572955
1998-03-07	6.879996	8.678601	9.216671	75.100360	11.286498	1.242364
1998-03-08	6.026811	5.746490	7.511036	204.566835	11.352132	0.794254
1998-03-09	0.279257	0.356414	1.820059	332.083458	11.417830	0.037605
1998-03-10	0.481516	1.078157	2.781209	268.824689	11.483584	0.127688
1998-03-11	0.036997	1.981096	3.589064	236.392054	11.549386	0.250649
1998-03-12	1.380618	1.055349	2.941397	195.946247	11.615231	0.126152
1998-03-13	0.504897	1.703902	2.777008	251.869990	11.681112	0.214801
1998-03-14	1.828820	4.866159	5.454793	186.986057	11.747022	0.684588
1998-03-15	5.319357	5.021402	6.169107	167.546989	11.812955	0.712610
1998-03-16	2.861673	6.218195	6.638152	39.505666	11.878904	0.906397
1998-03-17	2.980883	8.270954	8.749328	129.902141	11.944865	1.247108
1998-03-18	1.875664	8.237234	9.526579	173.041522	12.010830	1.248377
1998-03-19	0.309905	4.495434	5.587975	345.598141	12.076795	0.645097
1998-03-20	2.288556	3.759522	4.781582	313.841535	12.142754	0.532905
1998-03-21	0.319470	1.937774	3.383248	377.578694	12.208700	0.258596
1998-03-22	1.142984	1.499778	3.168015	260.225027	12.274630	0.196176
1998-03-23	0.967643	1.576271	2.698821	384.177545	12.340536	0.208314
1998-03-24	0.001738	1.147225	3.189901	448.397018	12.406413	0.147693
1998-03-25	0.000859	1.050507	3.124133	454.435779	12.472256	0.134777
1998-03-26	0.001723	2.869253	5.504224	460.910101	12.538059	0.408844
1998-03-27	1.277124	5.861066	6.535478	110.135783	12.603816	0.901173
1998-03-28	0.117503	9.492837	10.672827	176.223729	12.669523	1.539074
1998-03-29	0.000000	10.564789	12.872760	448.368399	12.735171	1.740115
1998-03-30	0.000852	10.505772	12.747278	482.213294	12.800757	1.738340
1998-03-31	0.085487	13.303858	15.865124	380.465294	12.866272	2.265030
1998-04-01	0.903662	12.699663	14.986905	433.865331	12.931712	2.163164
1998-04-02	5.768117	11.159867	12.668493	251.933415	12.997070	1.886156
1998-04-03	5.362266	11.339321	11.782113	150.755082	13.062338	1.929160
1998-04-04	1.070861	10.795364	10.846495	217.355435	13.127510	1.836801
1998-04-05	0.399639	10.430696	11.974083	356.657510	13.192580	1.777481
1998-04-06	0.222657	9.713491	11.228988	394.685995	13.257538	1.651701
1998-04-07	4.383964	8.974286	10.204382	224.286870	13.322378	1.521475
1998-04-08	4.250523	6.350286	6.582687	164.424090	13.387092	1.045353
1998-04-09	1.129444	7.151021	8.613648	321.574389	13.451670	1.196861
1998-04-10	0.080111	9.271224	11.192121	448.998240	13.516106	1.599831
1998-04-11	6.941042	8.275050	9.426648	313.819260	13.580389	1.418637
1998-04-12	1.957065	5.514939	6.628700	220.036772	13.644510	0.912443
1998-04-13	0.000852	5.404347	6.795849	505.967193	13.708459	0.896533
1998-04-14	0.645983	4.703267	6.439706	524.998817	13.772226	0.773130
1998-04-15	0.003083	6.885266	8.673764	355.121789	13.835801	1.180845
1998-04-16	1.026030	7.568195	8.701440	415.997965	13.899172	1.316204
1998-04-17	1.007058	6.862850	9.045388	434.015419	13.962328	1.187380
1998-04-18	1.093926	6.741856	8.331566	291.211831	14.025257	1.169637
1998-04-19	0.612436	6.447677	8.201571	412.943164	14.087945	1.118639
1998-04-20	0.169191	8.490439	10.653403	404.644997	14.150381	1.520526
1998-04-21	5.852845	9.340494	10.358693	332.030538	14.212550	1.696087
1998-04-22	0.019180	10.352403	12.013708	429.164159	14.274439	1.907382
1998-04-23	0.000000	12.313353	14.246997	613.272558	14.336032	2.318012
1998-04-24	0.744798	12.806834	14.399112	452.158071	14.397314	2.430673
1998-04-25	0.918331	13.171665	14.519614	389.456314	14.458269	2.517505
1998-04-26	2.904822	14.797612	16.052554	296.740565	14.518881	2.873112
1998-04-27	8.117929	15.509688	17.201377	426.501879	14.579133	3.037997
1998-04-28	5.623844	12.174620	12.652764	152.598774	14.639006	2.337703
1998-04-29	6.121571	13.187640	14.351979	311.224877	14.698482	2.562743
1998-04-30	0.119252	14.634557	16.411338	517.439100	14.757543	2.884989
1998-05-01	0.021317	15.057285	16.892895	595.021969	14.816168	2.988545
1998-05-02	4.457094	14.051282	15.798219	563.609681	14.874337	2.780686
1998-05-03	2.035151	12.749828	13.415985	257.733699	14.932028	2.508616
1998-05-04	0.611264	9.412785	9.603187	316.532483	14.989221	1.803996
1998-05-05	0.337222	9.342277	10.036683	281.797704	15.045892	1.795912
1998-05-06	0.784943	11.404848	12.050273	361.678960	15.102018	2.244569
1998-05-07	0.218029	13.439847	14.415219	242.977860	15.157575	2.698396
1998-05-08	0.002127	15.179760	17.253249	631.908814	15.212540	3.095942
1998-05-09	0.000852	17.667674	20.231385	631.949370	15.266886	3.671086
1998-05-10	0.000852	19.021711	21.540886	627.529745	15.320588	3.995498
1998-05-11	0.000000	19.579479	21.675228	671.416159	15.373619	4.138741
1998-05-12	0.005091	19.976109	22.160695	637.368915	15.425953	4.245393
1998-05-13	0.000116	15.937401	16.863957	615.439649	15.477561	3.323109
1998-05-14	0.002566	14.030473	15.387743	712.670721	15.528416	2.898237
1998-05-15	0.074820	13.385250	14.779324	548.677661	15.578488	2.760947
1998-05-16	0.000000	13.080226	13.998415	654.774021	15.627749	2.700380
1998-05-17	0.967603	13.375099	14.321281	429.928835	15.676168	2.775943
1998-05-18	0.113190	15.013176	16.652370	639.678074	15.723715	3.161394
1998-05-19	0.010313	16.016054	17.794764	558.148922	15.770360	3.404346
1998-05-20	0.077721	14.206486	15.101969	403.763905	15.816071	2.992656
1998-05-21	2.402036	10.472213	10.497037	173.408783	15.860817	2.146334
1998-05-22	0.790975	9.794625	10.730011	483.363305	15.904567	1.999683
1998-05-23	1.194126	9.468018	9.901574	297.231781	15.947289	1.931685
1998-05-24	0.992207	11.271771	12.049609	300.521741	15.988950	2.345930
1998-05-25	2.109312	11.833701	12.577586	283.730524	16.029520	2.481075
1998-05-26	0.694372	14.076038	15.483268	535.583454	16.068965	3.009834
1998-05-27	1.021587	15.882324	17.526428	625.259415	16.107255	3.445172
1998-05-28	0.211015	18.719546	20.405671	658.779402	16.144357	4.136873
1998-05-29	0.923848	19.802315	21.279562	626.875224	16.180239	4.410415
1998-05-30	4.736871	18.197245	19.277233	366.998784	16.214872	4.027691
1998-05-31	0.117080	18.107607	19.379647	506.202743	16.248223	4.014128
1998-06-01	6.994804	14.365090	14.984578	201.582102	16.280263	3.118312
1998-06-02	0.096914	16.806684	18.521246	548.062129	16.310962	3.712565
1998-06-03	2.654745	18.296937	19.354669	536.152254	16.340291	4.083293
1998-06-04	0.109435	18.214633	19.676779	586.261606	16.368222	4.070053
1998-06-05	0.000870	19.964482	21.273610	661.783620	16.394727	4.509124
1998-06-06	0.180429	25.698629	27.479923	681.096765	16.419780	5.960522
1998-06-07	3.020013	22.724047	24.187714	605.261757	16.443356	5.214151
1998-06-08	0.110581	18.148125	18.997424	441.938815	16.465431	4.077796
1998-06-09	-0.000006	19.156390	20.466555	496.374436	16.485981	4.332897
1998-06-10	7.593741	18.114673	18.926944	295.452962	16.504986	4.079311
1998-06-11	3.314675	16.218256	17.156412	397.440372	16.522424	3.616221
1998-06-12	13.080739	13.292428	14.141917	241.266794	16.538278	2.908715
1998-06-13	0.520879	10.804333	11.470708	301.657558	16.552530	2.318145
1998-06-14	0.036328	13.396439	14.656269	457.123281	16.565165	2.938512
1998-06-15	1.259337	15.099010	16.375965	576.009602	16.576168	3.353738
1998-06-16	3.512590	14.734681	15.443884	423.232666	16.585529	3.266738
1998-06-17	0.675364	14.294372	14.997657	553.072776	16.593236	3.161065
1998-06-18	1.652242	14.103999	14.878111	550.762536	16.599282	3.115955
1998-06-19	0.190042	15.927220	16.534514	189.714399	16.603660	3.562384
1998-06-20	0.527066	18.872827	20.171844	500.896978	16.606365	4.293574
1998-06-21	0.002137	22.011972	24.024987	706.208439	16.607396	5.085064
1998-06-22	11.947938	19.559543	20.295303	447.095842	16.606751	4.465710
1998-06-23	3.508762	16.112174	16.825772	360.331901	16.604432	3.608050
1998-06-24	2.286681	15.849832	16.088610	103.156090	16.600442	3.542676
1998-06-25	0.553696	19.491827	20.430081	407.760106	16.594787	4.445514
1998-06-26	3.792915	19.544164	20.243050	504.778249	16.587474	4.456671
1998-06-27	0.278768	20.704287	21.847210	531.019014	16.578511	4.745732
1998-06-28	0.442950	18.259834	18.943421	522.630018	16.567910	4.130946
1998-06-29	0.126993	17.054052	18.051956	494.929538	16.555683	3.829275
1998-06-30	2.157070	16.389693	17.444376	384.399792	16.541845	3.662561
1998-07-01	0.327107	16.268336	17.197265	500.374538	16.526413	3.629373
1998-07-02	0.418449	15.528994	16.384200	323.192646	16.509403	3.444934
1998-07-03	0.368978	16.300005	17.305825	483.290872	16.490836	3.629310
1998-07-04	3.607947	14.567267	14.930529	185.004087	16.470731	3.203634
1998-07-05	9.064510	14.976443	15.074186	169.788799	16.449111	3.298348
1998-07-06	1.173373	16.672521	17.381403	426.814784	16.426000	3.705956
1998-07-07	0.489603	13.623772	14.134491	376.420327	16.401423	2.963781
1998-07-08	7.032423	12.360740	12.843585	378.461046	16.375404	2.658964
1998-07-09	7.769752	13.738838	14.179161	218.511221	16.347971	2.981559
1998-07-10	1.598080	16.335726	17.011842	411.679761	16.319151	3.600178
1998-07-11	4.892924	16.806213	17.553663	450.468929	16.288974	3.707446
1998-07-12	5.016647	15.061440	15.130664	54.627273	16.257467	3.280262
1998-07-13	3.561393	17.711608	18.680333	218.724434	16.224663	3.912059
1998-07-14	0.186777	15.138225	16.104820	610.578227	16.190590	3.285079
1998-07-15	0.393385	15.554693	16.722456	585.315134	16.155279	3.377173
1998-07-16	3.836778	15.036229	16.082394	417.228252	16.118763	3.246292
1998-07-17	0.602062	15.883198	16.830452	333.462521	16.081072	3.439780
1998-07-18	0.299809	18.175494	19.054966	565.664478	16.042239	3.979575
1998-07-19	0.013309	17.974481	19.053854	552.823295	16.002295	3.921435
1998-07-20	0.004191	22.502430	24.978243	685.436627	15.961273	5.007053
1998-07-21	0.767321	26.014272	28.153844	645.923005	15.919204	5.830449
1998-07-22	2.335952	21.156597	22.386900	525.161233	15.876121	4.653917
1998-07-23	4.337195	22.379497	24.219622	606.418714	15.832054	4.936701
1998-07-24	0.542997	19.346419	20.208651	493.554147	15.787036	4.194463
1998-07-25	1.062017	17.557181	18.188671	392.784931	15.741097	3.759103
1998-07-26	0.383685	18.456999	19.422646	424.806001	15.694270	3.959586
1998-07-27	6.188829	20.371110	21.719626	434.543438	15.646583	4.399798
1998-07-28	4.644706	18.616422	19.456574	480.072354	15.598067	3.972694
1998-07-29	2.450288	16.886117	17.391817	306.875988	15.548752	3.557467
1998-07-30	0.922067	18.384011	19.381233	483.389995	15.498667	3.893243
1998-07-31	0.166241	17.786476	18.935893	555.671160	15.447841	3.742063
1998-08-01	1.303212	18.512448	19.976163	515.024246	15.396301	3.897239
1998-08-02	5.822792	17.839732	18.815875	297.897788	15.344075	3.729162
1998-08-03	1.757677	17.546276	18.452191	297.978123	15.291190	3.649169
1998-08-04	0.734976	18.558229	19.797933	333.474210	15.237672	3.867572
1998-08-05	0.507805	17.144026	18.057074	372.340447	15.183546	3.532276
1998-08-06	0.089249	17.694830	18.985780	505.451581	15.128838	3.644038
1998-08-07	0.001294	20.901178	22.786039	584.617795	15.073572	4.360057
1998-08-08	0.000000	22.743203	24.765771	628.607785	15.017771	4.766514
1998-08-09	0.033030	19.301116	20.033240	538.516941	14.961458	3.964884
1998-08-10	0.000000	19.345415	21.391980	652.840723	14.904655	3.959797
1998-08-11	0.000000	23.979467	27.093043	592.331799	14.847384	4.994748
1998-08-12	1.966227	25.073854	27.215776	521.283602	14.789666	5.225479
1998-08-13	7.373788	19.431116	19.410516	337.555125	14.731521	3.932862
1998-08-14	0.002154	17.023182	17.847755	328.471208	14.672968	3.387057
1998-08-15	0.045959	20.691939	22.779514	506.240512	14.614026	4.180640
1998-08-16	0.635886	19.292169	20.190325	311.299869	14.554713	3.855129
1998-08-17	0.000000	19.943631	22.082526	576.369640	14.495047	3.982069
