Valid time	Local time	Precipitation[mm] (acc.)	Temperature[degC]	SSRD[Jm-2] (acc.)
1997-12-31T23:00+00:00	1998-01-01T00:00+01:00	0.000034	5.313873	3264971.000000
1998-01-01T00:00+00:00	1998-01-01T01:00+01:00	0.000034	5.528229	3264971.000000
1998-01-01T01:00+00:00	1998-01-01T02:00+01:00	0.000000	5.327057	0.000000
1998-01-01T02:00+00:00	1998-01-01T03:00+01:00	0.000000	5.009186	0.000000
1998-01-01T03:00+00:00	1998-01-01T04:00+01:00	0.000000	4.835602	0.000000
1998-01-01T04:00+00:00	1998-01-01T05:00+01:00	0.000000	4.984528	0.000000
1998-01-01T05:00+00:00	1998-01-01T06:00+01:00	0.000000	5.269684	0.000000
1998-01-01T06:00+00:00	1998-01-01T07:00+01:00	0.000000	5.576080	0.000000
1998-01-01T07:00+00:00	1998-01-01T08:00+01:00	0.001291	5.671295	0.000000
1998-01-01T08:00+00:00	1998-01-01T09:00+01:00	0.001724	6.148834	19403.429688
1998-01-01T09:00+00:00	1998-01-01T10:00+01:00	0.002422	6.836090	136889.500000
1998-01-01T10:00+00:00	1998-01-01T11:00+01:00	0.003519	7.664948	382854.875000
1998-01-01T11:00+00:00	1998-01-01T12:00+01:00	0.005717	8.553375	750458.500000
1998-01-01T12:00+00:00	1998-01-01T13:00+01:00	0.007046	9.084381	1194280.000000
1998-01-01T13:00+00:00	1998-01-01T14:00+01:00	0.007099	9.334381	1633652.000000
1998-01-01T14:00+00:00	1998-01-01T15:00+01:00	0.008152	9.255280	1961115.000000
1998-01-01T15:00+00:00	1998-01-01T16:00+01:00	0.008152	8.299713	2079177.000000
1998-01-01T16:00+00:00	1998-01-01T17:00+01:00	0.008150	7.289703	2080565.000000
1998-01-01T17:00+00:00	1998-01-01T18:00+01:00	0.008150	6.866364	2080565.000000
1998-01-01T18:00+00:00	1998-01-01T19:00+01:00	0.008150	6.611237	2080565.000000
1998-01-01T19:00+00:00	1998-01-01T20:00+01:00	0.008150	6.556793	2080565.000000
1998-01-01T20:00+00:00	1998-01-01T21:00+01:00	0.008221	6.186676	2080565.000000
1998-01-01T21:00+00:00	1998-01-01T22:00+01:00	0.089935	6.217438	2080565.000000
1998-01-01T22:00+00:00	1998-01-01T23:00+01:00	0.186848	6.046295	2080565.000000
1998-01-01T23:00+00:00	1998-01-02T00:00+01:00	0.327640	5.808502	2080565.000000
1998-01-02T00:00+00:00	1998-01-02T01:00+01:00	0.458139	5.635895	2080565.000000
1998-01-02T01:00+00:00	1998-01-02T02:00+01:00	0.002103	5.652496	0.000000
1998-01-02T02:00+00:00	1998-01-02T03:00+01:00	0.003072	5.725983	0.000000
1998-01-02T03:00+00:00	1998-01-02T04:00+01:00	0.003141	6.038971	0.000000
1998-01-02T04:00+00:00	1998-01-02T05:00+01:00	0.003141	6.135651	0.000000
1998-01-02T05:00+00:00	1998-01-02T06:00+01:00	0.005909	6.170319	0.000000
1998-01-02T06:00+00:00	1998-01-02T07:00+01:00	0.057704	6.093170	0.000000
1998-01-02T07:00+00:00	1998-01-02T08:00+01:00	0.101198	6.429840	0.000000
1998-01-02T08:00+00:00	1998-01-02T09:00+01:00	0.123646	6.942291	15296.464844
1998-01-02T09:00+00:00	1998-01-02T10:00+01:00	0.129439	7.372711	125777.625000
1998-01-02T10:00+00:00	1998-01-02T11:00+01:00	0.131477	8.053131	446413.125000
1998-01-02T11:00+00:00	1998-01-02T12:00+01:00	0.132705	8.635162	933064.562500
1998-01-02T12:00+00:00	1998-01-02T13:00+01:00	0.142099	9.000153	1674986.000000
1998-01-02T13:00+00:00	1998-01-02T14:00+01:00	0.149447	9.178864	2297478.000000
1998-01-02T14:00+00:00	1998-01-02T15:00+01:00	0.149447	8.975983	2645190.000000
1998-01-02T15:00+00:00	1998-01-02T16:00+01:00	0.149447	8.275055	2782481.000000
1998-01-02T16:00+00:00	1998-01-02T17:00+01:00	0.157308	7.531647	2784372.000000
1998-01-02T17:00+00:00	1998-01-02T18:00+01:00	0.164140	7.429352	2784372.000000
1998-01-02T18:00+00:00	1998-01-02T19:00+01:00	0.169434	7.317780	2784372.000000
1998-01-02T19:00+00:00	1998-01-02T20:00+01:00	0.438868	7.873932	2784372.000000
1998-01-02T20:00+00:00	1998-01-02T21:00+01:00	0.445570	8.511871	2784372.000000
1998-01-02T21:00+00:00	1998-01-02T22:00+01:00	0.445570	8.668365	2784372.000000
1998-01-02T22:00+00:00	1998-01-02T23:00+01:00	0.445570	8.368073	2784372.000000
1998-01-02T23:00+00:00	1998-01-03T00:00+01:00	0.445570	7.867584	2784372.000000
1998-01-03T00:00+00:00	1998-01-03T01:00+01:00	0.449695	7.745514	2784372.000000
1998-01-03T01:00+00:00	1998-01-03T02:00+01:00	0.037107	7.576080	0.000000
1998-01-03T02:00+00:00	1998-01-03T03:00+01:00	0.069329	7.510406	0.000000
1998-01-03T03:00+00:00	1998-01-03T04:00+01:00	0.120075	7.224030	0.000000
1998-01-03T04:00+00:00	1998-01-03T05:00+01:00	0.132823	6.839996	0.000000
1998-01-03T05:00+00:00	1998-01-03T06:00+01:00	0.133364	6.643463	0.000000
1998-01-03T06:00+00:00	1998-01-03T07:00+01:00	0.133364	6.496246	0.000000
1998-01-03T07:00+00:00	1998-01-03T08:00+01:00	0.133364	6.745758	0.000000
1998-01-03T08:00+00:00	1998-01-03T09:00+01:00	0.133364	6.759918	29228.371094
1998-01-03T09:00+00:00	1998-01-03T10:00+01:00	0.134223	7.052643	206497.500000
1998-01-03T10:00+00:00	1998-01-03T11:00+01:00	0.134819	7.458649	670913.062500
1998-01-03T11:00+00:00	1998-01-03T12:00+01:00	0.134811	7.966217	1318689.000000
1998-01-03T12:00+00:00	1998-01-03T13:00+01:00	0.134811	7.927155	1763643.000000
1998-01-03T13:00+00:00	1998-01-03T14:00+01:00	0.145877	8.019440	2169284.000000
1998-01-03T14:00+00:00	1998-01-03T15:00+01:00	0.338049	7.614655	2365986.000000
1998-01-03T15:00+00:00	1998-01-03T16:00+01:00	0.764461	7.209869	2389435.000000
1998-01-03T16:00+00:00	1998-01-03T17:00+01:00	0.819025	7.275299	2389948.000000
1998-01-03T17:00+00:00	1998-01-03T18:00+01:00	0.982275	7.785553	2389948.000000
1998-01-03T18:00+00:00	1998-01-03T19:00+01:00	2.070631	8.206207	2389948.000000
1998-01-03T19:00+00:00	1998-01-03T20:00+01:00	2.572928	8.885651	2389948.000000
1998-01-03T20:00+00:00	1998-01-03T21:00+01:00	3.298959	8.801422	2389948.000000
1998-01-03T21:00+00:00	1998-01-03T22:00+01:00	3.534631	8.431793	2389948.000000
