Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
1998-01-01	0.327640	6.613098	8.079580	55.024201	7.936605	0.648013
1998-01-02	0.576069	7.368948	8.254107	73.637622	7.956234	0.731675
1998-01-03	3.548046	7.529053	7.489080	63.206383	7.977525	0.751172
1998-01-04	0.765975	5.701314	5.895543	83.365584	8.000452	0.554937
1998-01-05	1.306622	6.005575	6.216014	91.041146	8.024988	0.589376
1998-01-06	2.414722	4.461029	4.679808	60.861030	8.051106	0.426461
1998-01-07	4.745625	6.867544	8.871060	27.235767	8.078775	0.687570
1998-01-08	1.952816	8.204376	8.800897	64.404207	8.107965	0.839050
1998-01-09	0.327637	9.936717	10.332523	21.821405	8.138644	1.039625
1998-01-10	0.035940	8.131993	9.627801	97.207581	8.170778	0.837354
1998-01-11	0.000000	5.851685	7.386101	116.044074	8.204333	0.585598
1998-01-12	0.001729	5.789210	7.676293	111.589745	8.239276	0.581194
1998-01-13	0.000852	4.310537	6.359548	116.256736	8.275570	0.422123
1998-01-14	0.006220	5.611740	7.297279	112.067164	8.313180	0.566679
1998-01-15	0.008106	5.203313	5.439261	85.082002	8.352069	0.523952
1998-01-16	2.691315	6.359431	6.810246	25.704566	8.392200	0.656377
1998-01-17	1.152151	4.546209	4.858415	107.292604	8.433537	0.456102
1998-01-18	0.541571	4.185389	4.780913	99.191111	8.476043	0.418572
1998-01-19	4.918631	3.841415	3.318023	44.219618	8.519681	0.382880
1998-01-20	4.450977	1.885788	1.890794	35.839910	8.564414	0.176073
1998-01-21	0.664841	-0.447851	-0.377483	45.642376	8.610205	0.000000
1998-01-22	1.940756	-0.348272	0.025707	37.760446	8.657017	0.000000
1998-01-23	0.384479	-0.908971	-0.887700	47.370749	8.704815	0.000000
1998-01-24	2.648654	-0.517136	0.598474	72.522043	8.753563	0.000000
1998-01-25	0.282770	-2.426575	-2.128259	73.255411	8.803225	0.000000
1998-01-26	0.026821	-3.768188	-3.303024	81.216730	8.853766	0.000000
1998-01-27	0.004166	-4.499461	-3.357873	129.841377	8.905152	0.000000
1998-01-28	1.520775	-2.136327	-0.740661	45.711241	8.957350	0.000000
1998-01-29	0.803454	-1.167170	-0.264953	76.381997	9.010327	0.000000
1998-01-30	1.192649	-0.017365	1.037181	79.604115	9.064049	0.000000
1998-01-31	0.698374	-4.790665	-4.637782	150.174988	9.118486	0.000000
1998-02-01	0.000000	-8.190129	-7.768713	170.102419	9.173607	0.000000
1998-02-02	0.280527	-6.888346	-6.338744	186.219097	9.229381	0.000000
1998-02-03	0.671483	-1.343104	-0.130806	180.279549	9.285780	0.000000
1998-02-04	0.000868	-3.123591	-0.794279	190.075961	9.342774	0.000000
1998-02-05	0.003923	-0.271790	2.493286	140.668021	9.400336	0.000000
1998-02-06	0.021463	2.848465	4.831062	139.581609	9.458440	0.305983
1998-02-07	0.090740	2.019414	3.571821	172.983843	9.517059	0.210950
1998-02-08	0.074851	2.674382	3.858622	136.791296	9.576168	0.289045
1998-02-09	0.008836	4.285624	6.212122	150.248831	9.635743	0.488382
1998-02-10	0.000000	4.508596	7.063160	208.974745	9.695760	0.519599
1998-02-11	0.002146	5.560506	7.370703	162.843993	9.756197	0.658373
1998-02-12	0.019968	9.983597	10.820065	136.151655	9.817031	1.260525
1998-02-13	1.299981	10.559260	10.931615	49.133796	9.878242	1.349000
1998-02-14	0.102305	11.309128	12.942272	160.347500	9.939809	1.463730
1998-02-15	0.387357	10.821691	12.662650	173.498472	10.001713	1.403220
1998-02-16	0.463322	10.432124	11.820309	102.193588	10.063935	1.356181
1998-02-17	2.337727	5.222707	4.719533	118.879560	10.126456	0.637868
1998-02-18	0.061751	5.599274	7.275234	104.873333	10.189260	0.692868
1998-02-19	0.002878	6.159378	8.180213	235.996505	10.252330	0.774180
1998-02-20	0.013539	6.020777	7.811435	198.310069	10.315651	0.759716
1998-02-21	0.000852	10.002441	12.535429	252.847593	10.379206	1.335475
1998-02-22	5.033102	9.430954	10.123089	108.288299	10.442981	1.259539
1998-02-23	0.042392	5.462504	6.527170	158.400729	10.506963	0.695313
1998-02-24	1.287242	7.934418	8.859447	51.226262	10.571137	1.054451
1998-02-25	1.013662	8.639084	8.851171	34.177624	10.635492	1.164876
1998-02-26	0.595068	9.513875	10.157628	123.863322	10.700015	1.303018
1998-02-27	0.154471	8.882202	8.958703	120.761725	10.764693	1.215547
1998-02-28	3.165571	5.635946	6.342727	129.871157	10.829517	0.741709
1998-03-01	1.765974	2.423645	3.885286	225.769699	10.894475	0.295111
1998-03-02	1.907944	4.877696	6.358551	192.469873	10.959557	0.640386
1998-03-03	5.626949	8.152492	7.571884	52.518692	11.024753	1.132965
1998-03-04	5.269092	14.022557	15.673386	254.459398	11.090054	2.068603
1998-03-05	2.030928	5.767914	6.338453	236.555023	11.155451	0.783719
1998-03-06	8.248497	4.314382	4.744278	93.533704	11.220935	0.572923
1998-03-07	6.879829	8.677882	9.216138	75.101157	11.286498	1.242282
1998-03-08	6.043091	5.746857	7.511038	204.635486	11.352132	0.794337
1998-03-09	0.278684	0.356288	1.819957	332.092361	11.417830	0.037594
1998-03-10	0.485374	1.077209	2.780484	268.879259	11.483584	0.127574
1998-03-11	0.036509	1.980057	3.588186	236.406273	11.549386	0.250519
1998-03-12	1.377555	1.054743	2.939861	195.947130	11.615231	0.126082
1998-03-13	0.506040	1.703471	2.776315	251.847940	11.681112	0.214755
1998-03-14	1.827860	4.866038	5.454498	186.957731	11.747022	0.684596
1998-03-15	5.329323	5.021184	6.168985	167.547731	11.812955	0.712603
1998-03-16	2.852829	6.217763	6.637706	39.499401	11.878904	0.906358
1998-03-17	2.979180	8.270599	8.748981	129.911748	11.944865	1.247082
1998-03-18	1.866008	8.237183	9.526091	173.068634	12.010830	1.248401
1998-03-19	0.310072	4.495397	5.587814	345.591528	12.076795	0.645117
1998-03-20	2.285278	3.759618	4.781821	313.868773	12.142754	0.532944
1998-03-21	0.321525	1.937571	3.383014	377.588380	12.208700	0.258581
1998-03-22	1.145640	1.499420	3.167866	260.267083	12.274630	0.196137
1998-03-23	0.967884	1.575994	2.698241	384.193356	12.340536	0.208287
